;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.466667;0.666667;19.892535;0.333333;0.866667;2.505688;0.400000;0.600000;11.000000;0.400000;0.600000;6.813149;0.333333;0.533333;80.910000;0.800000;1.266667;650.941000;0.466667;0.600000;6.990778;0.466667;0.666667;0.613779;0.400000;0.600000;11.602675;0.400000;0.733333;12.011875;0.400000;0.600000;10.402618;0.400000;0.666667;11.752203;0.400000;0.733333;0.634889;0.400000;0.600000;1.212896;0.400000;0.600000;0.258991;0.400000;0.600000;46.127702
0.466667;0.600000;19.520551;0.866667;0.666667;2.551881;0.400000;0.600000;5.000000;0.666667;0.666667;8.044387;0.533333;0.800000;74.076000;0.600000;0.600000;702.435000;0.533333;0.600000;7.264862;0.733333;0.933333;0.531693;0.400000;0.600000;11.969659;0.400000;0.933333;12.199443;0.466667;0.666667;10.749558;0.533333;0.533333;11.820710;0.400000;0.600000;0.670864;0.400000;0.600000;1.626186;0.400000;0.466667;0.242975;0.333333;0.866667;47.642248
0.400000;0.533333;19.505380;0.666667;0.666667;2.556068;0.400000;0.600000;10.000000;0.400000;0.533333;10.241589;0.600000;0.800000;89.940000;0.533333;0.600000;642.775000;0.466667;0.600000;7.101222;0.600000;0.733333;0.566753;0.533333;0.600000;12.512389;0.333333;0.533333;12.300363;0.400000;0.600000;10.501690;0.333333;0.333333;11.294135;0.533333;0.666667;0.644518;0.533333;0.666667;1.651295;0.400000;0.600000;0.260426;0.400000;0.600000;42.410354
0.466667;0.666667;19.931322;0.733333;0.733333;2.150763;0.466667;0.666667;6.000000;0.466667;0.666667;9.845991;0.600000;0.800000;71.502000;0.733333;1.000000;717.176000;0.533333;0.666667;7.157629;0.666667;0.866667;0.535126;0.466667;0.666667;11.486891;0.466667;0.733333;12.280521;0.466667;0.666667;10.809597;0.466667;0.666667;11.682833;0.466667;0.666667;0.648201;0.466667;0.666667;1.574066;0.466667;0.666667;0.263543;0.400000;0.533333;45.341012
0.466667;0.600000;20.677983;0.600000;0.800000;1.553517;0.400000;0.533333;9.000000;0.400000;0.600000;13.227985;0.666667;0.933333;69.713000;0.600000;0.733333;638.415000;0.466667;0.466667;7.031591;0.666667;0.800000;0.520191;0.400000;0.666667;12.317995;0.466667;0.600000;12.770039;0.533333;0.666667;10.974541;0.466667;0.533333;12.163134;0.400000;0.733333;0.722432;0.400000;0.600000;1.327937;0.400000;0.466667;0.292105;0.400000;0.600000;44.103397
0.266667;0.400000;12.776987;0.666667;0.666667;2.070947;0.400000;0.600000;53.000000;0.400000;0.600000;10.392275;0.600000;0.533333;79.852000;0.600000;0.733333;640.463000;0.466667;0.466667;7.099235;0.800000;1.000000;0.516803;0.400000;0.600000;10.981861;0.400000;0.600000;12.737682;0.266667;0.600000;10.736668;0.266667;0.733333;14.106611;0.400000;0.600000;0.647298;0.400000;0.600000;0.647967;0.400000;0.600000;0.249442;0.400000;0.600000;44.837570
0.400000;0.400000;11.833537;0.466667;0.533333;2.544937;0.400000;0.600000;21.000000;0.466667;0.600000;13.631931;0.533333;0.800000;83.820000;0.466667;0.733333;670.750000;0.266667;0.266667;7.168446;0.533333;0.600000;0.510947;0.400000;0.600000;10.953570;0.400000;0.600000;12.534242;0.400000;0.400000;11.058129;0.400000;0.333333;14.243703;0.400000;0.600000;0.649893;0.400000;0.600000;0.670183;0.266667;0.600000;0.278907;0.400000;0.466667;43.751973
0.466667;0.666667;12.695681;0.666667;0.733333;2.143316;0.466667;0.666667;7.000000;0.533333;0.733333;7.931034;0.533333;0.533333;71.749000;0.866667;0.866667;629.453000;0.400000;0.533333;6.906609;0.866667;1.466667;0.516405;0.533333;0.666667;11.023516;0.466667;0.533333;12.225664;0.466667;0.600000;10.837929;0.400000;0.600000;14.283423;0.533333;0.733333;0.641616;0.533333;0.666667;0.648870;0.600000;0.800000;0.251934;0.400000;0.533333;48.613069
0.400000;0.600000;12.777294;0.466667;0.600000;1.791955;0.400000;0.600000;55.000000;0.733333;0.600000;7.284660;0.466667;0.666667;86.733000;0.400000;0.466667;655.431000;0.400000;0.533333;7.072466;0.533333;1.066667;0.618875;0.400000;0.600000;11.177852;0.400000;0.600000;12.655910;0.400000;0.600000;10.601540;0.400000;0.533333;14.217996;0.333333;0.600000;0.634110;0.333333;0.466667;0.693415;0.400000;0.600000;0.274281;0.600000;0.600000;48.157733
0.400000;0.600000;8.644445;0.600000;0.600000;2.638356;0.400000;0.600000;10.000000;0.666667;0.733333;14.822451;0.733333;0.800000;90.098000;0.466667;0.733333;677.250000;0.533333;0.600000;7.234160;0.333333;0.400000;0.512832;0.400000;0.533333;10.924661;0.400000;0.600000;11.990174;0.400000;0.600000;10.472324;0.466667;0.600000;14.430454;0.533333;0.600000;0.644227;0.600000;0.666667;0.646111;0.666667;0.666667;0.250709;0.600000;0.600000;48.242516
0.400000;0.600000;9.285218;0.466667;0.866667;2.482892;0.400000;0.600000;11.000000;0.400000;0.600000;7.268540;0.466667;0.733333;88.615000;0.800000;1.133333;684.100000;0.400000;0.533333;7.034792;0.666667;0.800000;0.644298;0.400000;0.600000;11.672822;0.400000;0.600000;12.834260;0.400000;0.600000;10.520318;0.466667;0.666667;14.257074;0.533333;0.533333;0.640450;0.533333;0.666667;0.654815;0.400000;0.600000;0.258181;0.400000;0.533333;43.260022
0.400000;0.600000;9.215319;0.400000;0.333333;1.769519;0.400000;0.600000;23.000000;0.466667;0.533333;7.132945;0.466667;0.666667;69.704000;0.466667;0.533333;640.459000;0.400000;0.533333;7.056761;0.733333;1.333333;0.522563;0.333333;0.666667;11.317661;0.400000;0.600000;12.884606;0.400000;0.600000;10.559215;0.400000;0.466667;14.180024;0.400000;0.533333;0.650595;0.333333;0.466667;0.619938;0.333333;0.400000;0.234914;0.600000;0.466667;45.238382
0.466667;0.600000;9.223796;0.600000;0.866667;1.364335;0.466667;0.733333;45.000000;0.400000;0.800000;7.617556;0.533333;0.533333;87.873000;0.800000;1.066667;688.556000;0.400000;0.600000;7.320768;0.666667;1.066667;0.515191;0.466667;0.600000;11.124389;0.466667;0.533333;12.219500;0.466667;0.666667;10.405636;0.400000;0.600000;14.286645;0.466667;0.666667;0.647311;0.466667;0.600000;0.621655;0.333333;0.533333;0.271639;0.466667;0.600000;48.986815
0.400000;0.600000;8.436526;0.466667;0.400000;2.098644;0.400000;0.600000;16.000000;0.600000;0.666667;17.319971;0.600000;0.666667;73.857000;0.600000;0.666667;707.530000;0.533333;0.600000;7.069693;0.600000;1.066667;0.675327;0.466667;0.666667;11.569100;0.400000;0.866667;11.616177;0.400000;0.733333;10.448706;0.600000;0.733333;14.545432;0.600000;0.666667;0.649108;0.600000;0.733333;0.634620;0.600000;0.733333;0.246730;0.400000;0.666667;47.919379
0.466667;0.733333;13.038825;0.666667;0.733333;1.553428;0.466667;0.733333;22.000000;0.466667;0.733333;5.419721;0.533333;0.666667;75.736000;0.666667;0.666667;649.736000;0.400000;0.400000;7.106689;0.733333;0.933333;0.513688;0.466667;0.733333;11.598030;0.466667;0.733333;12.487705;0.466667;0.733333;10.374873;0.466667;0.600000;14.283909;0.466667;0.733333;0.650316;0.466667;0.733333;0.635052;0.466667;0.733333;0.250528;0.466667;0.466667;44.735059
0.466667;0.733333;8.157165;0.466667;0.666667;1.874686;0.466667;0.733333;6.000000;0.466667;0.733333;10.157972;0.533333;0.800000;81.062000;0.600000;1.133333;698.863000;0.466667;0.600000;7.034726;0.666667;0.800000;0.496459;0.466667;0.733333;11.796030;0.466667;0.733333;12.464000;0.466667;0.733333;10.435669;0.400000;0.733333;14.181371;0.466667;0.733333;0.635198;0.466667;0.733333;0.620872;0.466667;0.733333;0.256659;0.466667;0.733333;43.690137
0.533333;0.600000;7.848506;0.800000;0.866667;2.733145;0.400000;0.600000;18.000000;0.600000;0.733333;6.179572;0.600000;0.733333;87.302000;0.600000;0.733333;710.000000;0.533333;0.666667;7.158887;0.800000;1.066667;0.525037;0.533333;0.666667;11.845831;0.533333;0.600000;12.162434;0.533333;0.733333;10.484366;0.400000;0.666667;14.231623;0.533333;0.666667;0.645145;0.533333;0.666667;0.610575;0.466667;0.600000;0.237773;0.533333;0.733333;47.108396
0.466667;0.733333;7.941445;0.600000;0.800000;2.006826;0.466667;0.733333;24.000000;0.466667;0.533333;5.577729;0.400000;0.666667;68.425000;0.733333;0.800000;667.546000;0.400000;0.533333;6.971857;0.666667;1.133333;0.510726;0.466667;0.733333;12.299660;0.466667;0.733333;11.391567;0.466667;0.733333;10.589686;0.533333;0.733333;14.397640;0.466667;0.600000;0.645104;0.466667;0.733333;0.628665;0.466667;0.733333;0.290906;0.466667;0.600000;48.555415
