;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.480000;0.512000;55.031643;0.492000;0.492000;6.543209;0.452000;0.468000;16366.000000;0.552000;0.616000;757.401794;0.484000;0.500000;404.699000;0.492000;0.520000;2737.503000;0.480000;0.504000;46.770510;0.472000;0.492000;0.433306;0.480000;0.512000;1955.685206;0.500000;0.528000;33.067704;0.496000;0.508000;59.026864;0.488000;0.496000;108.495131;0.480000;0.512000;751.904801;0.476000;0.496000;14.708485;0.476000;0.496000;14.708485;0.492000;0.512000;134.975452
0.376000;0.408000;59.758379;0.396000;0.420000;5.749210;0.408000;0.412000;18194.000000;0.476000;0.536000;708.712849;0.376000;0.404000;558.269000;0.412000;0.444000;2814.281000;0.416000;0.432000;47.339846;0.420000;0.424000;0.482253;0.416000;0.420000;1651.197892;0.364000;0.372000;35.837513;0.368000;0.400000;62.418452;0.400000;0.384000;118.704401;0.412000;0.416000;796.648709;0.416000;0.444000;10.981342;0.416000;0.444000;10.981342;0.424000;0.440000;138.869828
0.392000;0.460000;63.280950;0.396000;0.440000;5.594759;0.380000;0.400000;20532.000000;0.488000;0.560000;689.310973;0.420000;0.428000;543.954000;0.460000;0.468000;2789.332000;0.380000;0.396000;46.573744;0.420000;0.444000;0.442686;0.388000;0.416000;1623.225527;0.380000;0.432000;33.419827;0.400000;0.492000;58.497912;0.388000;0.432000;110.105098;0.404000;0.408000;794.361502;0.400000;0.424000;14.600429;0.400000;0.424000;14.600429;0.412000;0.448000;135.155054
0.392000;0.452000;62.867196;0.400000;0.404000;4.546430;0.384000;0.400000;10896.000000;0.512000;0.572000;684.882462;0.384000;0.392000;574.208000;0.452000;0.428000;2800.397000;0.404000;0.424000;48.621619;0.400000;0.416000;0.430438;0.404000;0.416000;2343.193178;0.392000;0.412000;35.277382;0.384000;0.420000;61.301647;0.364000;0.396000;120.800761;0.408000;0.412000;812.367014;0.416000;0.428000;11.869704;0.416000;0.428000;11.869704;0.380000;0.412000;135.155589
0.424000;0.468000;61.932848;0.440000;0.492000;4.044282;0.444000;0.464000;8664.000000;0.508000;0.592000;678.886432;0.448000;0.472000;575.474000;0.468000;0.524000;2828.109000;0.476000;0.508000;47.845694;0.468000;0.488000;0.466393;0.456000;0.484000;1932.319514;0.440000;0.492000;34.744428;0.432000;0.472000;63.150141;0.440000;0.480000;111.111294;0.444000;0.476000;680.388710;0.444000;0.480000;10.222045;0.444000;0.480000;10.222045;0.448000;0.452000;138.717109
0.452000;0.504000;63.582412;0.408000;0.428000;5.449771;0.396000;0.412000;11396.000000;0.480000;0.548000;694.513091;0.392000;0.472000;565.035000;0.448000;0.440000;2764.476000;0.408000;0.428000;47.165531;0.432000;0.448000;0.443545;0.432000;0.452000;1693.688666;0.408000;0.432000;36.282221;0.404000;0.448000;59.540342;0.412000;0.444000;113.681325;0.424000;0.444000;878.092794;0.428000;0.440000;13.392954;0.428000;0.440000;13.392954;0.436000;0.432000;136.016660
0.376000;0.412000;64.627005;0.364000;0.424000;4.027918;0.356000;0.372000;10280.000000;0.468000;0.520000;706.215556;0.356000;0.376000;574.711000;0.392000;0.412000;2938.243000;0.392000;0.404000;46.637217;0.364000;0.384000;0.570450;0.384000;0.400000;1546.909624;0.368000;0.404000;35.879016;0.372000;0.492000;65.324498;0.352000;0.376000;112.189731;0.348000;0.368000;810.811335;0.352000;0.372000;11.540804;0.352000;0.372000;11.540804;0.372000;0.384000;134.001646
0.440000;0.508000;55.399741;0.440000;0.484000;5.057130;0.452000;0.476000;8734.000000;0.508000;0.628000;710.515996;0.456000;0.488000;401.323000;0.420000;0.456000;2774.129000;0.480000;0.520000;48.319298;0.432000;0.456000;0.457941;0.460000;0.476000;1346.100474;0.432000;0.472000;32.582325;0.464000;0.520000;56.222460;0.452000;0.500000;107.885226;0.480000;0.488000;749.062383;0.448000;0.476000;10.909974;0.448000;0.476000;10.909974;0.480000;0.468000;132.629979
0.464000;0.484000;63.221727;0.448000;0.476000;5.488702;0.424000;0.444000;9179.000000;0.516000;0.572000;702.742773;0.428000;0.456000;386.924000;0.468000;0.524000;2764.373000;0.432000;0.460000;46.651942;0.436000;0.452000;0.464232;0.440000;0.460000;1364.805253;0.432000;0.476000;32.996474;0.468000;0.480000;57.974523;0.448000;0.488000;108.736791;0.424000;0.448000;772.304716;0.440000;0.460000;11.834065;0.440000;0.460000;11.834065;0.448000;0.472000;135.981259
0.392000;0.432000;35.348093;0.420000;0.436000;5.729717;0.400000;0.428000;12506.000000;0.544000;0.584000;677.394403;0.388000;0.416000;381.613000;0.404000;0.488000;2740.409000;0.428000;0.460000;46.510689;0.408000;0.436000;0.458096;0.412000;0.444000;2311.497350;0.404000;0.416000;34.175504;0.404000;0.440000;58.847500;0.376000;0.444000;111.011389;0.408000;0.432000;742.536035;0.432000;0.456000;10.424198;0.432000;0.456000;10.424198;0.412000;0.420000;133.007388
0.416000;0.452000;57.671920;0.432000;0.444000;6.652669;0.396000;0.408000;18474.000000;0.468000;0.520000;707.737396;0.408000;0.424000;371.272000;0.432000;0.456000;2748.718000;0.456000;0.468000;46.658007;0.428000;0.436000;0.471572;0.428000;0.424000;2172.165350;0.420000;0.432000;36.475395;0.412000;0.448000;60.746687;0.400000;0.400000;115.446856;0.424000;0.436000;748.505109;0.428000;0.436000;14.042413;0.428000;0.436000;14.042413;0.404000;0.432000;136.304939
0.436000;0.532000;34.246415;0.436000;0.492000;6.496638;0.432000;0.440000;12876.000000;0.516000;0.560000;708.290124;0.448000;0.480000;351.538000;0.480000;0.504000;2772.707000;0.504000;0.552000;47.063880;0.432000;0.448000;0.481180;0.448000;0.460000;1380.435848;0.440000;0.456000;34.945683;0.472000;0.504000;59.559722;0.460000;0.484000;109.896383;0.452000;0.464000;890.436941;0.440000;0.472000;13.400254;0.440000;0.472000;13.400254;0.464000;0.476000;134.070340
0.416000;0.492000;63.546357;0.440000;0.440000;4.111296;0.440000;0.476000;8670.000000;0.536000;0.612000;687.325973;0.456000;0.488000;451.102000;0.460000;0.492000;2744.409000;0.436000;0.472000;46.714229;0.456000;0.484000;0.455964;0.444000;0.472000;1503.160521;0.464000;0.460000;35.996426;0.456000;0.492000;60.043355;0.476000;0.500000;110.644342;0.460000;0.464000;774.175997;0.452000;0.476000;10.478400;0.452000;0.476000;10.478400;0.436000;0.476000;136.296532
0.456000;0.480000;61.669480;0.420000;0.488000;6.757278;0.472000;0.488000;7553.000000;0.576000;0.656000;733.477457;0.476000;0.484000;425.277000;0.496000;0.512000;2786.077000;0.512000;0.520000;46.671409;0.432000;0.452000;0.440589;0.460000;0.472000;1867.014952;0.480000;0.456000;32.721045;0.456000;0.480000;59.167211;0.464000;0.476000;111.296972;0.472000;0.496000;769.571831;0.436000;0.460000;15.584540;0.436000;0.460000;15.584540;0.456000;0.508000;135.610354
0.452000;0.488000;63.047326;0.460000;0.484000;7.242209;0.476000;0.480000;8965.000000;0.512000;0.580000;715.654245;0.456000;0.460000;323.943000;0.476000;0.460000;2782.045000;0.460000;0.464000;47.820233;0.496000;0.500000;0.497020;0.464000;0.472000;2083.812380;0.444000;0.448000;32.729884;0.488000;0.488000;58.683398;0.432000;0.436000;111.747381;0.468000;0.468000;789.486894;0.488000;0.488000;13.994950;0.488000;0.488000;13.994950;0.468000;0.472000;132.110931
0.428000;0.476000;63.415854;0.416000;0.456000;6.442832;0.404000;0.428000;12508.000000;0.468000;0.540000;691.939675;0.376000;0.400000;437.286000;0.436000;0.456000;2752.654000;0.416000;0.436000;46.921939;0.440000;0.468000;0.459566;0.432000;0.416000;1507.538947;0.424000;0.444000;34.676646;0.436000;0.468000;59.643405;0.420000;0.452000;112.128484;0.424000;0.444000;790.721793;0.428000;0.456000;13.009115;0.428000;0.456000;13.009115;0.420000;0.452000;133.867641
0.464000;0.500000;54.413572;0.448000;0.468000;3.347303;0.456000;0.476000;11495.000000;0.556000;0.636000;714.098936;0.432000;0.464000;439.808000;0.504000;0.552000;2747.629000;0.456000;0.488000;46.346910;0.448000;0.468000;0.560281;0.424000;0.448000;1769.707964;0.448000;0.488000;32.819295;0.460000;0.524000;56.969111;0.436000;0.460000;120.895045;0.452000;0.468000;790.882373;0.444000;0.472000;11.266609;0.444000;0.472000;11.266609;0.440000;0.468000;131.837638
0.456000;0.476000;63.183050;0.416000;0.456000;5.740694;0.396000;0.416000;7548.000000;0.500000;0.596000;762.784716;0.428000;0.448000;436.941000;0.472000;0.508000;2743.732000;0.404000;0.428000;47.032223;0.408000;0.428000;0.462990;0.400000;0.424000;1499.858134;0.420000;0.432000;33.960178;0.468000;0.512000;59.883212;0.436000;0.420000;109.895528;0.412000;0.424000;762.208054;0.408000;0.432000;11.349415;0.408000;0.432000;11.349415;0.428000;0.436000;133.767519
0.436000;0.496000;62.578798;0.436000;0.464000;4.298193;0.436000;0.460000;13170.000000;0.532000;0.592000;709.751645;0.444000;0.472000;335.326000;0.468000;0.428000;2741.333000;0.472000;0.504000;46.549245;0.440000;0.460000;0.489796;0.436000;0.476000;1380.068907;0.428000;0.452000;32.584098;0.420000;0.496000;59.169116;0.444000;0.484000;108.536423;0.444000;0.456000;735.291076;0.468000;0.496000;12.418042;0.468000;0.496000;12.418042;0.480000;0.488000;136.110059
