;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.336066;0.360656;24.993037;0.352459;0.344262;5.599225;0.319672;0.319672;532.000000;0.327869;0.336066;238.009286;0.344262;0.344262;703.193000;0.311475;0.319672;1894.675000;0.336066;0.344262;30.849691;0.311475;0.311475;0.516895;0.303279;0.303279;53.773316;0.352459;0.344262;17.257471;0.352459;0.336066;26.531181;0.303279;0.286885;61.855648;0.278689;0.303279;114.944881;0.295082;0.295082;175.043446;0.319672;0.319672;3.349619;0.336066;0.270492;111.391422
0.327869;0.385246;24.430919;0.360656;0.336066;5.005811;0.327869;0.352459;938.000000;0.344262;0.368852;216.028552;0.311475;0.336066;708.534000;0.295082;0.311475;2017.476000;0.327869;0.336066;31.701266;0.311475;0.344262;0.511580;0.295082;0.303279;55.524034;0.295082;0.311475;17.526587;0.327869;0.336066;26.811351;0.344262;0.368852;60.585587;0.286885;0.311475;103.680175;0.311475;0.311475;170.758322;0.327869;0.352459;3.253635;0.295082;0.336066;101.648525
0.336066;0.344262;25.219815;0.336066;0.352459;4.490775;0.286885;0.295082;1177.000000;0.327869;0.303279;218.163287;0.327869;0.336066;721.506000;0.327869;0.352459;1970.687000;0.368852;0.385246;32.042100;0.295082;0.303279;0.377378;0.303279;0.286885;52.877868;0.295082;0.311475;17.110666;0.336066;0.377049;27.382605;0.278689;0.295082;62.925305;0.278689;0.278689;102.869929;0.278689;0.278689;168.010591;0.327869;0.344262;3.950834;0.311475;0.319672;106.757786
0.344262;0.352459;27.958170;0.336066;0.327869;5.369965;0.270492;0.278689;377.000000;0.393443;0.434426;221.209444;0.270492;0.278689;703.378000;0.278689;0.286885;1937.518000;0.295082;0.311475;31.305389;0.278689;0.286885;0.570427;0.270492;0.278689;52.856692;0.319672;0.270492;17.376369;0.327869;0.377049;26.880785;0.221311;0.229508;63.450156;0.295082;0.303279;109.898813;0.278689;0.278689;181.065589;0.278689;0.278689;2.674620;0.286885;0.295082;104.614067
0.295082;0.295082;28.372751;0.303279;0.295082;3.986621;0.245902;0.254098;942.000000;0.319672;0.286885;241.454953;0.278689;0.295082;697.060000;0.385246;0.393443;2057.452000;0.327869;0.336066;32.169675;0.286885;0.303279;0.451341;0.286885;0.303279;52.746849;0.311475;0.319672;17.795983;0.319672;0.311475;27.168412;0.286885;0.295082;62.513990;0.270492;0.286885;102.190792;0.270492;0.286885;173.534810;0.278689;0.295082;2.808632;0.278689;0.286885;102.485926
0.336066;0.368852;28.125343;0.327869;0.368852;4.661047;0.278689;0.295082;1366.000000;0.352459;0.327869;245.757142;0.311475;0.319672;692.932000;0.327869;0.352459;1954.889000;0.311475;0.344262;31.886094;0.278689;0.286885;0.486054;0.311475;0.327869;52.804226;0.344262;0.352459;16.568219;0.327869;0.360656;27.381560;0.303279;0.336066;61.315632;0.270492;0.319672;108.257155;0.278689;0.286885;174.174080;0.303279;0.311475;3.842994;0.278689;0.327869;104.233900
0.262295;0.278689;27.196419;0.286885;0.336066;4.975405;0.278689;0.286885;421.000000;0.327869;0.393443;248.663480;0.270492;0.286885;702.523000;0.254098;0.270492;1977.277000;0.319672;0.327869;31.394571;0.327869;0.344262;0.527144;0.303279;0.319672;51.258282;0.278689;0.303279;17.493641;0.303279;0.311475;26.591797;0.278689;0.286885;62.699480;0.319672;0.327869;105.074531;0.286885;0.295082;185.362538;0.319672;0.336066;3.098803;0.319672;0.311475;103.926818
0.319672;0.344262;24.027847;0.303279;0.336066;3.744466;0.344262;0.368852;272.000000;0.385246;0.426230;255.103978;0.352459;0.377049;703.711000;0.352459;0.368853;1950.168000;0.368852;0.385246;30.945388;0.344262;0.368852;0.492713;0.319672;0.344262;53.923921;0.352459;0.368852;16.813009;0.336066;0.360656;26.739196;0.327869;0.368852;61.477478;0.319672;0.344262;145.781560;0.319672;0.344262;160.125169;0.327869;0.344262;3.096928;0.360656;0.385246;106.482357
0.352459;0.352459;27.847925;0.286885;0.319672;5.121696;0.286885;0.311475;740.000000;0.393443;0.377049;244.669761;0.245902;0.270492;704.766000;0.270492;0.303279;1974.576000;0.344262;0.368852;31.940051;0.303279;0.336066;0.558204;0.295082;0.327869;53.183481;0.278689;0.303279;16.866069;0.319672;0.336066;26.839161;0.278689;0.303279;61.685956;0.303279;0.336066;101.877499;0.303279;0.336066;166.858670;0.286885;0.319672;3.391387;0.327869;0.344262;99.190298
0.368852;0.393443;23.898741;0.278689;0.352459;5.069233;0.327869;0.344262;594.000000;0.401639;0.377049;242.060748;0.295082;0.303279;704.844000;0.401639;0.426229;2028.194000;0.352459;0.385246;31.188740;0.303279;0.319672;0.570631;0.286885;0.295082;52.003583;0.360656;0.418033;16.901865;0.377049;0.401639;26.635715;0.311475;0.327869;61.792053;0.295082;0.295082;89.449463;0.295082;0.311475;279.312649;0.303279;0.295082;2.892762;0.295082;0.303279;107.153456
0.327869;0.360656;25.012041;0.262295;0.327869;4.774114;0.254098;0.262295;465.000000;0.295082;0.270492;275.521994;0.319672;0.327869;708.207000;0.311475;0.319672;1919.275000;0.311475;0.319672;31.724209;0.286885;0.303279;0.397382;0.311475;0.336066;53.742614;0.295082;0.311475;17.347105;0.344262;0.377049;27.749797;0.278689;0.286885;68.003262;0.319672;0.336066;116.126983;0.237705;0.245902;369.899401;0.237705;0.336066;3.095010;0.278689;0.295082;101.499609
0.311475;0.327869;27.761737;0.295082;0.303279;4.685393;0.278689;0.278689;286.000000;0.385246;0.409836;251.304321;0.336066;0.344262;698.261000;0.991803;3.770492;1920.348000;0.319672;0.327869;31.585938;0.311475;0.319672;0.589333;0.262295;0.303279;53.043461;0.278689;0.303279;17.506473;0.295082;0.327869;26.847591;0.311475;0.295082;62.132045;0.295082;0.303279;104.418272;0.286885;0.295082;171.993145;0.262295;0.303279;3.102957;0.295082;0.319672;100.250811
0.368852;0.409836;27.389540;0.352459;0.377049;4.477175;0.327869;0.352459;316.000000;0.434426;0.409836;244.385157;0.418033;0.459016;491.060000;0.360656;0.409836;1900.507000;0.344262;0.377049;30.755373;0.352459;0.393443;0.445988;0.319672;0.377049;52.071408;0.319672;0.352459;17.499275;0.368852;0.401639;26.615620;0.311475;0.336066;59.844408;0.368852;0.393443;128.998067;0.360656;0.385246;177.771921;0.352459;0.401639;2.771792;0.344262;0.368852;104.051128
0.360656;0.377049;27.392120;0.319672;0.336066;4.696035;0.262295;0.278689;1419.000000;0.327869;0.336066;244.958111;0.327869;0.319672;513.282000;0.303279;0.327869;1980.652000;0.295082;0.311475;31.469621;0.286885;0.303279;0.507176;0.270492;0.319672;52.017267;0.352459;0.368852;17.559639;0.352459;0.360656;26.460989;0.295082;0.295082;63.756487;0.270492;0.278689;116.656269;0.278689;0.286885;160.769898;0.270492;0.295082;3.067674;0.319672;0.286885;97.815060
0.319672;0.327869;24.305392;0.311475;0.377049;5.297486;0.286885;0.295082;360.000000;0.368852;0.352459;283.649241;0.286885;0.303279;503.605000;0.344262;0.360656;1895.294000;0.336066;0.360656;31.133862;0.278689;0.286885;0.482346;0.262295;0.278689;51.767974;0.319672;0.336066;17.745335;0.336066;0.352459;26.983990;0.327869;0.344262;62.133665;0.262295;0.327869;121.335218;0.262295;0.286885;192.004850;0.336066;0.344262;2.781966;0.295082;0.286885;98.592658
0.344262;0.368852;25.513264;0.352459;0.336066;4.090142;0.311475;0.352459;285.000000;0.393443;0.442623;228.476487;0.303279;0.336066;490.029000;0.344262;0.385246;1917.555000;0.336066;0.352459;30.595983;0.327869;0.360656;0.416365;0.311475;0.352459;54.720760;0.344262;0.377049;17.586592;0.368852;0.409836;28.652502;0.327869;0.336066;64.040516;0.303279;0.336066;102.632038;0.303279;0.336066;176.883657;0.319672;0.344262;3.204453;0.352459;0.360656;101.653881
0.311475;0.360656;24.925154;0.254098;0.286885;4.736331;0.237705;0.254098;749.000000;0.352459;0.409836;234.970461;0.286885;0.303279;263.441000;0.303279;0.344262;1939.271000;0.311475;0.327869;31.976132;0.229508;0.245902;0.425102;0.303279;0.245902;52.481206;0.327869;0.311475;17.342959;0.344262;0.344262;27.228552;0.270492;0.278689;61.635902;0.254098;0.229508;116.353526;0.213115;0.254098;165.332200;0.229508;0.245902;3.250074;0.229508;0.254098;98.961645
0.311475;0.319672;28.766911;0.327869;0.352459;4.351384;0.303279;0.311475;310.000000;0.336066;0.344262;251.439310;0.352459;0.360656;490.506000;0.385246;0.393443;1918.677000;0.303279;0.327869;31.893268;0.311475;0.319672;0.591420;0.319672;0.295082;53.206361;0.327869;0.344262;17.868509;0.360656;0.336066;27.152726;0.319672;0.327869;71.084224;0.311475;0.319672;100.386683;0.303279;0.319672;163.588738;0.311475;0.319672;2.799705;0.311475;0.360656;98.762096
