;CSSVC;;;ELMOP;;;GPOR;;;KDLOR;;;NNOP;;;NNPOM;;;ORDBALL;;;POM;;;REDSVM;;;SVC1V1;;;SVC1VA;;;SVMOP;;;SVOREX;;;SVORIM;;;SVORIMLin;;;SVR;
MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time;MZE;MAE;Time
0.026667;0.093333;11.027022;0.066667;0.093333;2.303186;0.053333;0.053333;90.000000;0.080000;0.093333;99.625221;0.040000;0.040000;65.898000;0.040000;0.040000;396.901000;0.053333;0.053333;30.067317;0.706667;1.013333;0.290664;0.706667;1.013333;0.290664;0.040000;0.040000;16.815597;0.053333;0.053333;27.163766;0.026667;0.026667;8.515091;0.026667;0.026667;16.508695;0.026667;0.026667;16.508695;0.733333;0.960000;12.615766;0.040000;0.040000;77.920761
0.053333;0.053333;34.655765;0.106667;0.080000;2.758383;0.080000;0.080000;248.000000;0.040000;0.093333;100.840720;0.120000;0.120000;55.309000;0.053333;0.053333;393.835000;0.053333;0.053333;30.113125;0.706667;0.960000;0.285693;0.706667;0.960000;0.285693;0.053333;0.053333;13.342346;0.080000;0.093333;26.661034;0.053333;0.053333;7.969164;0.053333;0.053333;16.157297;0.053333;0.053333;16.157297;0.733333;0.946667;12.696231;0.040000;0.040000;80.165440
0.013333;0.013333;34.980619;0.053333;0.080000;2.632614;0.040000;0.040000;43.000000;0.146667;0.106667;103.955177;0.013333;0.013333;53.650000;0.040000;0.040000;396.598000;0.000000;0.000000;29.746095;0.720000;0.946667;0.277018;0.720000;0.946667;0.277018;0.026667;0.026667;12.606730;0.040000;0.040000;26.839113;0.026667;0.026667;8.126670;0.026667;0.026667;16.023565;0.026667;0.026667;16.023565;0.733333;0.946667;12.372719;0.026667;0.026667;79.141302
0.080000;0.080000;15.527228;0.106667;0.106667;2.368434;0.026667;0.026667;79.000000;0.133333;0.133333;98.635593;0.080000;0.080000;64.273000;0.093333;0.133333;400.143000;0.080000;0.080000;29.456401;0.746667;1.000000;0.280130;0.746667;1.000000;0.280130;0.080000;0.080000;14.323641;0.093333;0.093333;27.575860;0.013333;0.013333;8.221956;0.013333;0.013333;16.755280;0.013333;0.013333;16.755280;0.733333;0.946667;12.272145;0.093333;0.066667;81.154649
0.066667;0.066667;18.659103;0.093333;0.120000;2.767179;0.040000;0.040000;85.000000;0.146667;0.133333;100.166277;0.053333;0.106667;56.493000;0.106667;0.106667;389.718000;0.080000;0.080000;29.295716;0.720000;0.973333;0.324451;0.720000;0.973333;0.324451;0.093333;0.080000;13.513478;0.133333;0.080000;27.121012;0.040000;0.013333;8.106477;0.040000;0.040000;15.738974;0.040000;0.040000;15.738974;0.733333;0.960000;13.832023;0.066667;0.066667;86.879090
0.053333;0.053333;11.179923;0.080000;0.080000;3.535590;0.066667;0.066667;49.000000;0.066667;0.080000;102.030690;0.066667;0.066667;65.638000;0.053333;0.053333;415.859000;0.040000;0.040000;29.305383;0.746667;1.026667;0.272189;0.746667;1.026667;0.272189;0.053333;0.053333;14.607371;0.106667;0.106667;26.807582;0.013333;0.013333;7.992831;0.013333;0.013333;16.576925;0.013333;0.013333;16.576925;0.733333;0.946667;12.932073;0.093333;0.093333;86.229995
0.053333;0.093333;10.650002;0.040000;0.053333;2.685862;0.040000;0.040000;45.000000;0.093333;0.133333;106.422024;0.040000;0.040000;55.286000;0.053333;0.053333;408.184000;0.080000;0.080000;29.374708;0.653333;0.986667;0.271517;0.653333;0.986667;0.271517;0.040000;0.066667;13.966043;0.053333;0.040000;27.833146;0.026667;0.026667;7.886465;0.026667;0.026667;16.136624;0.026667;0.026667;16.136624;0.733333;0.946667;12.346496;0.106667;0.066667;82.928092
0.040000;0.040000;19.831093;0.093333;0.080000;1.868296;0.066667;0.066667;219.000000;0.146667;0.146667;101.889360;0.093333;0.093333;60.582000;0.026667;0.026667;396.682000;0.053333;0.053333;29.218728;0.693333;0.933333;0.265456;0.693333;0.933333;0.265456;0.053333;0.053333;14.404905;0.080000;0.080000;26.968145;0.026667;0.026667;7.806955;0.026667;0.026667;15.679144;0.026667;0.026667;15.679144;0.733333;0.946667;12.685215;0.093333;0.093333;80.930159
0.053333;0.053333;18.193643;0.053333;0.093333;2.369241;0.040000;0.040000;114.000000;0.080000;0.106667;104.547753;0.053333;0.053333;55.946000;0.093333;0.093333;400.926000;0.053333;0.053333;29.268494;0.733333;0.946667;0.260533;0.733333;0.946667;0.260533;0.053333;0.040000;13.066080;0.053333;0.053333;27.530578;0.040000;0.013333;8.184804;0.040000;0.040000;15.872128;0.040000;0.040000;15.872128;0.773333;1.306667;10.132498;0.080000;0.080000;81.651579
0.066667;0.066667;18.727179;0.093333;0.120000;3.383641;0.066667;0.066667;83.000000;0.133333;0.133333;103.825692;0.080000;0.066667;62.104000;0.093333;0.080000;393.777000;0.080000;0.080000;29.123579;0.666667;0.920000;0.283641;0.666667;0.920000;0.283641;0.066667;0.066667;16.953530;0.080000;0.080000;26.728812;0.013333;0.013333;7.826107;0.013333;0.013333;15.788945;0.013333;0.013333;15.788945;0.733333;0.946667;12.283774;0.093333;0.093333;82.489754
0.026667;0.026667;18.022160;0.053333;0.066667;3.491438;0.053333;0.053333;250.000000;0.146667;0.146667;103.122396;0.080000;0.080000;55.406000;0.040000;0.040000;394.830000;0.040000;0.040000;29.136045;0.733333;1.013333;0.285926;0.733333;1.013333;0.285926;0.013333;0.013333;16.818409;0.080000;0.040000;27.424847;0.026667;0.026667;7.755167;0.026667;0.026667;16.218559;0.026667;0.026667;16.218559;0.733333;0.946667;13.200400;0.053333;0.053333;82.583545
0.093333;0.080000;18.733058;0.093333;0.093333;2.384529;0.040000;0.040000;110.000000;0.106667;0.080000;102.290235;0.040000;0.040000;54.285000;0.066667;0.066667;394.225000;0.053333;0.053333;29.753785;0.720000;0.986667;0.271100;0.720000;0.986667;0.271100;0.053333;0.053333;16.088401;0.106667;0.053333;28.021585;0.040000;0.000000;7.991110;0.040000;0.040000;16.180016;0.040000;0.040000;16.180016;0.733333;0.946667;12.098373;0.013333;0.026667;84.856404
0.053333;0.053333;34.842628;0.013333;0.040000;2.433958;0.026667;0.026667;73.000000;0.093333;0.146667;105.755109;0.026667;0.026667;61.684000;0.026667;0.026667;397.326000;0.053333;0.053333;29.126269;0.720000;0.920000;0.317319;0.720000;0.920000;0.317319;0.053333;0.053333;13.693417;0.053333;0.040000;26.333175;0.026667;0.026667;8.229456;0.026667;0.026667;16.136149;0.026667;0.026667;16.136149;0.733333;0.946667;11.925920;0.066667;0.026667;83.098823
0.026667;0.026667;10.923101;0.040000;0.053333;2.170973;0.040000;0.040000;501.000000;0.066667;0.040000;102.632066;0.040000;0.040000;60.003000;0.040000;0.040000;404.614000;0.040000;0.040000;30.431466;0.706667;1.013333;0.287698;0.706667;1.013333;0.287698;0.053333;0.026667;16.610528;0.066667;0.040000;27.636717;0.026667;0.026667;7.856244;0.026667;0.026667;16.278495;0.026667;0.026667;16.278495;0.733333;0.946667;12.682535;0.040000;0.040000;80.296398
0.120000;0.120000;15.544339;0.040000;0.093333;3.366445;0.120000;0.120000;206.000000;0.106667;0.106667;104.806901;0.093333;0.093333;62.164000;0.053333;0.053333;396.108000;0.066667;0.066667;29.736105;0.706667;0.946667;0.266977;0.706667;0.946667;0.266977;0.106667;0.053333;14.839863;0.106667;0.106667;26.733682;0.013333;0.013333;7.717706;0.013333;0.013333;16.059216;0.013333;0.013333;16.059216;0.733333;0.946667;12.619322;0.106667;0.106667;81.989541
0.066667;0.066667;15.249555;0.053333;0.040000;3.001494;0.026667;0.026667;312.000000;0.080000;0.080000;102.496999;0.040000;0.040000;52.001000;0.026667;0.026667;401.740000;0.026667;0.026667;29.373064;0.746667;1.000000;0.263109;0.746667;1.000000;0.263109;0.013333;0.013333;17.407736;0.066667;0.026667;27.297143;0.000000;0.000000;7.911715;0.000000;0.000000;16.057807;0.000000;0.000000;16.057807;0.746667;0.973333;12.382573;0.053333;0.053333;81.985312
0.066667;0.066667;14.848432;0.093333;0.093333;1.633241;0.066667;0.066667;82.000000;0.120000;0.120000;98.447869;0.106667;0.106667;55.620000;0.026667;0.053333;391.532000;0.040000;0.040000;29.650821;0.706667;0.946667;0.274593;0.706667;0.946667;0.274593;0.026667;0.026667;12.386336;0.053333;0.093333;27.629236;0.040000;0.040000;8.489211;0.040000;0.040000;15.956952;0.040000;0.040000;15.956952;0.733333;0.960000;12.601816;0.173333;0.133333;79.765545
0.026667;0.026667;37.191693;0.040000;0.093333;3.043991;0.040000;0.040000;181.000000;0.080000;0.066667;103.214585;0.093333;0.093333;48.963000;0.066667;0.066667;387.985000;0.053333;0.053333;29.942528;0.693333;0.986667;0.275524;0.693333;0.986667;0.275524;0.013333;0.013333;13.043608;0.040000;0.040000;26.904463;0.026667;0.026667;7.915725;0.026667;0.026667;16.219702;0.026667;0.026667;16.219702;0.746667;0.973333;12.943774;0.040000;0.040000;84.213068
